artist_genius_id,pseudonym,country,n_before,n_after,mean_before,mean_after,delta,cohens_d,p_value,significant
23616,Noize MC,Литва,102,40,-0.002623212409395056,-0.004312603105450443,-0.0016893906960553868,-0.10264108535820643,0.5813485303465418,False
24422,Oxxxymiron,Великобритания,48,38,-0.008109273546865586,-0.010034927758810114,-0.0019256542119445285,-0.06721971422077558,0.3297892463568275,False
356911,Лу (Louna),Израиль,57,14,-0.009884700617857883,-0.00671092309506036,0.0031737775227975223,0.12348913745056958,0.6329551730881733,False
638315,Монеточка,Литва,65,30,1.7504573259518832e-06,-0.006053870625349903,-0.0060556210826758555,-0.3325434102807112,0.11561421633695085,False
659958,Анастасия Креслина,Великобритания,33,24,-0.02009959163368361,-0.009885751107390574,0.010213840526293035,0.2680095938729103,0.42221015976237475,False
988966,FACE,Греция,165,26,-0.003910733490617899,-0.015404705662296275,-0.011493972171678375,-0.3959286586121563,0.410067246647311,False
1025364,Земфира,Франция,173,13,-0.006075680447204409,0.01441888385369224,0.020494564300896648,0.5203508929396845,0.17197084103404825,False
1027095,Шура Би-2,Израиль,53,33,-0.0035728279106746795,-0.0017094705605914273,0.0018633573500832523,0.06933820337935194,0.8148701864199251,False
1105316,Арсений Морозов,Грузия,55,30,-0.02309564619246141,-0.0020602617735328626,0.021035384418928545,0.3395665837837313,0.02444234879006657,True
1158010,Айгель Гайсина,Турция,59,25,0.004392403407724178,-0.008037455748345307,-0.012429859156069485,-0.29676603579112404,0.6123106300267085,False
1267272,Моргенштерн,ОАЭ,46,95,-0.009048317600784643,-0.006767925139193995,0.0022803924615906477,0.0772815725670383,0.8978698707547489,False
1319279,Кирилл Иванов,Грузия,90,27,-0.006088251174316977,-0.006898300000271834,-0.0008100488259548573,-0.03247055271558499,0.8482175080250145,False
1325712,Гречка,Грузия,71,26,-0.004921796115292601,-0.0005452000771784642,0.004376596038114137,0.14510380362818323,0.48810264185265495,False
1365487,Борис Гребенщиков,Великобритания,448,51,-0.0013239590773032348,-0.008106147833359195,-0.006782188756055961,-0.3395695205067425,0.017075227616395496,True
1481096,Максим Покровский,США,92,22,-0.0056932285965964275,-0.0104786759709078,-0.004785447374311373,-0.3046572111511774,0.04624939804206981,True
1642799,Максим Леонидов,Израиль,31,16,-0.0028338919793407863,0.003203909427776688,0.006037801407117474,0.29924731837625346,0.9014897956465533,False
1656186,Вера Мусаелян,Германия,36,9,-0.000505981218107265,-0.005963965688368656,-0.005457984470261391,-0.3035217395994026,0.7644957709179188,False
1694470,Вася Обломов,США,70,11,-0.013748575619618269,0.001970408990494711,0.01571898461011298,0.322523252181763,0.049683033673502235,True
1696241,Виктор Ужаков,Сербия,74,6,-0.0022393154276666182,-0.009662024722265686,-0.007422709294599069,-0.2766001383192566,0.30907818863850733,False
1904764,Kate NV,Сербия,14,1,0.031495465318994734,0.013513513513513514,-0.01798195180548122,,,
2150370,Ushko,Армения,55,26,-0.00440688299067739,0.00024612203600666514,0.004653005026684055,0.20054999209939775,0.4994814096271444,False
